RENDERING NPI,PROVIDER LEGAL NAME,CALENDAR YEAR,DELIVERY SYSTEM,PROVIDER TYPE,AGE GROUP,ADV USER CNT,ADV USER ANNOTATION CODE,ADV SVC CNT,ADV  SVC ANNOTATION CODE,PREV USER CNT,PREV USER ANNOTATION CODE,PREV SVC CNT,PREV SVC ANNOTATION CODE,TXMT USER CNT,TXMT USER ANNOTATION CODE,TXMT SVC CNT,TXMT SVC ANNOTATION CODE,EXAM USER CNT,EXAM USER ANNOTATION CODE,EXAM SVC CNT,EXAM SVC ANNOTATION CODE
1003000175,REYES-VASQUEZ BELINDA,2021,FFS,RENDERING,AGE 21+,"1,064",,"2,741",,,1,,2,"1,062",,"2,246",,482,,482,
1003004698,"GODFREY III, MERLE FRANKLIN,",2021,FFS,RENDERING,AGE 21+,275,,"1,284",,147,,463,,275,,560,,245,,245,
1003009440,VONTELA REKHA,2021,FFS,RENDERING,AGE 0-20,603,,"7,145",,576,,"2,429",,335,,712,,568,,728,
1003009440,VONTELA REKHA,2021,FFS,RENDERING,AGE 21+,683,,"5,229",,571,,"1,135",,305,,742,,585,,585,
1003010372,LIM KYUNG A,2021,FFS,RENDERING,AGE 0-20,88,,361,,62,,132,,28,,49,,36,,36,
1003010372,LIM KYUNG A,2021,FFS,RENDERING,AGE 21+,81,,331,,39,,76,,41,,90,,33,,33,
1003011172,"KHULLAR, SONIA, DDS",2021,FFS,RENDERING,AGE 0-20,76,,550,,64,,235,,37,,75,,68,,81,
1003011172,"KHULLAR, SONIA, DDS",2021,FFS,RENDERING,AGE 21+,290,,"1,856",,162,,302,,208,,951,,218,,220,
1003012170,"SHAH, KISHORE K, DDS INC",2021,PHP,RENDERING,AGE 0-20,35,,378,,31,,210,,,1,,2,32,,64,
1003012170,"SHAH, KISHORE K, DDS INC",2021,PHP,RENDERING,AGE 21+,28,,232,,14,,52,,11,,40,,14,,28,
1003012857,HUSSAINY MIRWAIS,2021,FFS,RENDERING,AGE 0-20,55,,289,,0,,0,,54,,288,,,1,,1
1003012857,HUSSAINY MIRWAIS,2021,FFS,RENDERING,AGE 21+,85,,416,,0,,0,,83,,407,,,1,,1
1003022880,WANG JAMES H,2021,FFS,RENDERING,AGE 0-20,226,,"2,118",,151,,470,,161,,660,,209,,269,
1003022880,WANG JAMES H,2021,FFS,RENDERING,AGE 21+,191,,"1,535",,104,,206,,159,,744,,133,,133,
1003028077,PHAM CATHY H,2021,FFS,RENDERING,AGE 0-20,24,,149,,22,,52,,,1,,2,21,,23,
1003028077,PHAM CATHY H,2021,FFS,RENDERING,AGE 21+,23,,147,,20,,38,,,1,,2,19,,19,
1003031972,NGUYEN DAVE H,2021,FFS,RENDERING,AGE 0-20,79,,785,,73,,99,,30,,126,,68,,76,
1003031972,NGUYEN DAVE H,2021,FFS,RENDERING,AGE 21+,161,,955,,62,,62,,91,,342,,112,,114,
1003032061,LEE CHARLES C,2021,FFS,RENDERING,AGE 0-20,60,,356,,49,,138,,31,,127,,41,,41,
1003032061,LEE CHARLES C,2021,FFS,RENDERING,AGE 21+,196,,918,,125,,241,,108,,360,,133,,133,
1003035114,"KIM, KWANG SEOB, DDS",2021,FFS,RENDERING,AGE 0-20,336,,"2,061",,273,,781,,149,,523,,281,,321,
1003035114,"KIM, KWANG SEOB, DDS",2021,FFS,RENDERING,AGE 21+,"1,009",,"6,190",,564,,"1,097",,657,,"2,907",,706,,721,
1003035239,CHEN JING,2021,FFS,RENDERING,AGE 0-20,218,,"1,732",,197,,559,,106,,348,,210,,271,
1003035239,CHEN JING,2021,FFS,RENDERING,AGE 21+,593,,"5,310",,426,,859,,465,,"2,748",,479,,485,
1003038142,EYRE CLARICE L,2021,FFS,RENDERING,AGE 0-20,422,,864,,0,,0,,194,,559,,,1,,1
1003038142,EYRE CLARICE L,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,0,,0,,0,,0,
1003047531,"VEDAMANI, SHAWN R MD",2021,FFS,RENDERING,AGE 0-20,11,,34,,0,,0,,11,,34,,0,,0,
1003056409,RASHIDI MARK M,2021,FFS,RENDERING,AGE 0-20,238,,458,,0,,0,,70,,189,,0,,0,
1003056409,RASHIDI MARK M,2021,FFS,RENDERING,AGE 21+,,1,,1,0,,0,,0,,0,,0,,0,
1003056409,RASHIDI MARK M,2021,PHP,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003056409,RASHIDI MARK M,2021,PHP,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,0,,0,
1003063652,VAHIDNIA ARJANG,2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,0,,0,
1003063652,VAHIDNIA ARJANG,2021,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,1,,1,,1
1003063652,VAHIDNIA ARJANG,2021,GMC,RENDERING,AGE 0-20,282,,"1,590",,145,,163,,278,,550,,41,,41,
1003063652,VAHIDNIA ARJANG,2021,GMC,RENDERING,AGE 21+,968,,"5,111",,539,,601,,693,,904,,898,,924,
1003072828,NAIK APARNA R,2021,FFS,RENDERING,AGE 0-20,114,,631,,84,,157,,48,,101,,82,,82,
1003072828,NAIK APARNA R,2021,FFS,RENDERING,AGE 21+,427,,"2,526",,178,,181,,270,,700,,212,,212,
1003072828,NAIK APARNA R,2021,GMC,RENDERING,AGE 21+,,1,,2,0,,0,,,1,,1,0,,0,
1003074923,PILLAI BINDU V,2021,FFS,RENDERING,AGE 0-20,769,,"7,501",,87,,179,,390,,"1,045",,625,,633,
1003074923,PILLAI BINDU V,2021,FFS,RENDERING,AGE 21+,338,,"3,432",,52,,88,,150,,552,,273,,273,
1003082074,"SHIRAZI ARDESTANI, BEHZAD, I",2021,PHP,RENDERING,AGE 0-20,,1,,1,0,,0,,,1,,1,,1,,1
1003082074,"SHIRAZI ARDESTANI, BEHZAD, I",2021,PHP,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,,1,,1
1003083965,BAUTISTA REYMOND CARBONELL,2021,GMC,RENDERING,AGE 21+,,1,,1,0,,0,,0,,0,,,1,,1
1003091232,SHELAT BHAVINI H,2021,FFS,RENDERING,AGE 0-20,"2,485",,"38,641",,"2,337",,"7,792",,"1,300",,"1,491",,"2,355",,"2,580",
1003091489,"FALABELLA, JULIAN, DDS",2021,FFS,RENDERING,AGE 0-20,145,,676,,48,,114,,92,,230,,72,,75,
1003091489,"FALABELLA, JULIAN, DDS",2021,FFS,RENDERING,AGE 21+,185,,552,,,1,,2,159,,333,,33,,33,
1003097783,SIMANIAN MITRA E,2021,FFS,RENDERING,AGE 0-20,73,,587,,58,,148,,32,,117,,59,,81,
1003097783,SIMANIAN MITRA E,2021,FFS,RENDERING,AGE 21+,90,,333,,14,,21,,35,,109,,66,,66,
1003097783,SIMANIAN MITRA E,2021,PHP,RENDERING,AGE 0-20,,1,,2,,1,,2,,1,,2,,1,,1
1003097783,SIMANIAN MITRA E,2021,PHP,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,2,,1,,1
1003100959,MATCHETT JOHN,2021,PHP,RENDERING,AGE 21+,,1,,1,0,,0,,,1,,1,0,,0,
1003126343,"RAMIREZ, JOSE RUBEN DDS",2021,FFS,RENDERING,AGE 0-20,162,,"1,197",,142,,380,,74,,263,,156,,201,
1003126343,"RAMIREZ, JOSE RUBEN DDS",2021,FFS,RENDERING,AGE 21+,135,,675,,50,,100,,89,,287,,103,,103,
1003127234,"NATARAJAN, SIVA V MD",2021,FFS,RENDERING,AGE 0-20,"1,029",,"3,173",,0,,0,,"1,029",,"3,173",,0,,0,
1003154808,"GUEVARRA, VERONICA CABAL, RD",2021,FFS,RENDERING,AGE 21+,,1,,1,,1,,1,0,,0,,0,,0,
1003159864,OHRI PRIYAL S,2021,FFS,RENDERING,AGE 0-20,858,,"5,610",,664,,"1,699",,530,,"1,257",,614,,619,
1003161969,"JOHNSON, MALIEKA T, DDS",2021,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003161969,"JOHNSON, MALIEKA T, DDS",2021,FFS,RENDERING,AGE 21+,146,,964,,69,,123,,119,,540,,112,,112,
1003164799,YALUNG JELSON J,2021,FFS,RENDERING,AGE 0-20,,1,,1,0,,0,,0,,0,,0,,0,
1003212333,KHOSHSAR RAMIN,2021,FFS,RENDERING,AGE 0-20,54,,399,,44,,113,,25,,91,,47,,61,
1003212333,KHOSHSAR RAMIN,2021,FFS,RENDERING,AGE 21+,276,,"2,031",,124,,232,,152,,746,,218,,218,
